'name' 	 'time' 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.005 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.010 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.020 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.645 	 971.5 	 2530.4 	 3691.1 	 4424.3 
0.650 	 1013.0 	 2671.1 	 3387.2 	 4004.2 
0.655 	 1003.0 	 2194.2 	 3142.0 	 4084.5 
0.660 	 1043.4 	 2212.3 	 3058.7 	 4185.2 
0.665 	 999.2 	 2393.0 	 3100.9 	 4202.1 
0.670 	 853.1 	 2316.3 	 3092.7 	 4188.1 
0.675 	 540.0 	 2039.9 	 2717.7 	 3796.5 
0.680 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.685 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.690 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.695 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.700 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
